1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#launchingcoesulsel2019']', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['makrusio']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#jalanjalanmura1 #jalanjalangunun1 #jalanjalanjeh']', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['citilink']', '[]', negative
0, 0, 2, 0, 0, -3, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '['kumparan']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#infojakart1 #okezon1 #blibl1 #shope1 #selebrita1 #trans1 #transt1 #tvon1 #metrot1 #airasi1 #lionai1 #sriwijayaai1 #citilin1 #garud1 #namai1 #telkomse1 #pegipeg1 #jawapo1 #gra1 #tvon1 #ojekonlin1 #jawapo1 #konsumen']', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 4, 0, 0, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', positive
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['alvinlie21 citilin1 sriwijayaai1 indonesiagaruda']', '[]', positive
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '['detikfinance']', '['#garudaindonesia']', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['oedi1 citilink']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sooblnku']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['dennysiregar1 indonesiagarud1 erickthohi1 kpk_ri']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['anindyakan1 pt_transjakart1 commuterlin1 mrtjakarta']', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['lubnaps']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', neutral
0, 0, 4, 0, 0, -1, 0, 0, '[]', '[]', '['metro_tv']', '['#metrosiang']', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['beni_iskandar91 ylki_id']', '['#sjy']', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['missnuri1 sriwijayaair']', '[]', negative
0, 0, 5, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#garudauntukanakindonesia']', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['tempodotc1 indonesiagarud1 citilin1 lionairgroup']', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sandboyduba1 petergonth1 ivanrt01 kelanadudun1 bebasvisai1 han_s1 indonesiagarud1 menlu_r1 kemlu_r1 muhammadrezahi1 jameshandaj1 lagnezmo17']', '[]', negative
0, 1, 0, 0, -1, -2, 0, 0, '[]', '[]', '['arekun21']', '[]', negative
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#tetapamanterbang']', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['ankerindonesia']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['mas__piyuu1 indonesiagarud1 jokowi']', '[]', negative
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['jokow1 lionairgrou1 citilink']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#citilinkflybanyuwangi']', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', neutral
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['citilink']', '['#linkersacademy']', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['riugibran']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#kartukreditbni']', neutral
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#harleybancakan']', negative
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['leovaradio']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '['bonnietriyan1 catuarie1 indonesiagaruda']', '[\'#e1 #garudaindonesia\']', neutral
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['korantemp1 citilin1 indonesiagaruda']', '[]', negative
0, 1, 1, 0, -2, -2, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
